distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,time
101.9,5.2,75,22.0,18,E10,0,0,0,81.52
93.9,4.8,88,23.0,18,E10,1,0,1,64.02
25.7,4.9,50,22.0,10,SP98,0,1,0,30.84
16.0,4.1,40,22.0,10,SP98,0,0,0,24.0
16.1,4.5,32,22.0,19,SP98,0,0,0,30.19
16.0,4.4,40,22.0,7,SP98,1,1,0,24.0
16.0,4.5,41,22.0,11,SP98,0,0,0,23.41
24.7,4.5,26,22.0,10,SP98,0,0,0,57.0
16.0,3.9,42,22.0,8,SP98,0,0,0,22.86
15.4,4.6,43,22.0,16,SP98,0,0,0,21.49
16.0,3.8,40,22.0,8,SP98,0,0,0,24.0
32.1,4.5,50,22.0,16,SP98,0,0,0,38.52
25.9,4.4,40,22.0,14,SP98,0,0,0,38.85
48.6,4.3,44,22.0,12,SP98,0,0,0,66.27
37.2,4.0,45,22.0,20,SP98,0,0,1,49.6
28.8,3.9,35,22.0,15,SP98,0,0,1,49.37
6.7,5.0,30,22.0,17,SP98,0,0,0,13.4
7.4,4.1,25,22.0,18,SP98,0,0,1,17.76
17.3,4.1,22,22.0,25,SP98,0,0,1,47.18
6.6,5.6,43,22.0,16,SP98,0,0,0,9.21
14.3,4.1,26,22.0,20,SP98,0,0,0,33.0
13.3,4.6,33,22.0,18,SP98,0,0,0,24.18
8.3,4.9,26,22.0,23,SP98,0,0,0,19.15
12.7,4.5,39,22.0,27,SP98,0,0,1,19.54
16.5,4.1,47,22.0,14,SP98,0,0,0,21.06
20.6,4.1,38,22.0,21,SP98,0,0,0,32.53
16.3,4.5,58,22.0,16,SP98,0,0,0,16.86
18.7,4.2,65,25.0,18,SP98,1,0,1,17.26
36.5,3.9,54,23.0,18,SP98,0,0,1,40.56
19.0,5.0,35,22.0,15,SP98,1,0,1,32.57
16.6,4.4,46,22.0,5,SP98,1,0,0,21.65
29.9,4.5,32,22.0,18,SP98,1,0,0,56.06
16.0,3.8,42,22.0,11,SP98,0,0,0,22.86
21.1,5.1,33,22.0,10,SP98,0,1,0,38.36
16.0,3.9,40,22.0,10,SP98,0,0,0,24.0
11.9,5.3,34,22.0,13,SP98,0,0,0,21.0
10.1,4.2,35,22.0,16,SP98,0,0,0,17.31
31.9,4.3,33,22.0,16,SP98,0,0,0,58.0
18.7,4.0,60,22.0,13,SP98,0,0,0,18.7
10.8,4.7,48,22.0,17,SP98,0,0,1,13.5
19.8,4.0,56,22.0,17,SP98,0,0,1,21.21
11.3,4.3,38,22.0,17,SP98,0,0,0,17.84
11.5,5.3,53,22.0,15,SP98,0,0,0,13.02
21.4,5.2,51,22.0,13,SP98,0,0,0,25.18
32.0,4.9,53,22.0,15,SP98,0,0,0,36.23
41.9,4.7,53,22.0,14,SP98,0,0,0,47.43
211.0,4.6,80,22.0,20,SP98,0,0,0,158.25
216.1,5.3,90,22.0,21,SP98,0,0,1,144.07
25.5,3.6,27,22.0,27,SP98,0,0,1,56.67
16.6,4.2,52,22.0,15,SP98,0,1,0,19.15
25.9,4.1,43,22.0,24,SP98,0,0,0,36.14
16.5,4.0,48,22.0,15,SP98,0,0,0,20.62
22.1,3.9,29,22.0,26,SP98,0,0,0,45.72
16.6,3.7,49,22.0,17,E10,0,0,0,20.33
15.4,4.5,43,22.0,24,E10,0,0,0,21.49
16.5,3.9,43,22.0,17,E10,0,0,0,23.02
15.4,5.1,21,22.0,24,E10,0,0,0,44.0
18.4,4.2,59,22.0,24,E10,0,0,0,18.71
39.5,4.2,58,22.0,25,E10,0,0,0,40.86
21.5,4.8,47,25.0,27,E10,1,0,1,27.45
4.8,4.7,26,25.0,18,E10,0,0,0,11.08
100.9,4.7,87,23.5,22,E10,0,0,0,69.59
129.7,4.6,58,24.0,21,E10,0,0,0,134.17
16.6,3.8,43,21.5,16,E10,0,0,0,23.16
15.4,4.2,50,21.5,21,E10,0,0,0,18.48
16.0,3.7,45,22.0,17,E10,0,0,0,21.33
16.0,4.2,41,22.0,15,E10,0,0,0,23.41
15.4,4.1,45,22.0,24,E10,0,0,0,20.53
16.0,4.0,43,22.0,16,E10,0,0,0,22.33
21.0,3.8,37,22.0,21,E10,0,0,0,34.05
15.4,3.8,47,22.0,24,E10,0,0,0,19.66
16.0,3.8,42,22.0,17,E10,0,0,0,22.86
16.1,5.1,30,25.0,16,E10,1,1,0,32.2
16.0,4.0,42,22.0,15,E10,0,0,0,22.86
15.4,4.8,40,22.0,18,E10,0,0,0,23.1
17.2,3.9,35,22.0,16,E10,0,0,0,29.49
16.6,4.6,50,22.0,25,E10,0,0,0,19.92
18.3,4.3,46,22.0,16,SP98,0,0,0,23.87
16.1,4.8,36,22.0,18,SP98,0,1,0,26.83
16.0,4.1,46,22.0,17,SP98,0,0,0,20.87
16.3,4.0,35,22.0,23,SP98,0,0,0,27.94
16.0,3.7,44,22.0,16,SP98,0,0,0,21.82
18.3,4.3,46,22.0,23,SP98,0,0,0,23.87
4.5,5.2,23,22.0,23,SP98,0,0,1,11.74
17.0,4.2,48,22.0,16,SP98,0,0,0,21.25
6.1,5.0,35,24.5,18,SP98,0,0,0,10.46
6.1,5.0,33,22.0,24,SP98,0,0,1,11.09
17.3,4.2,36,22.0,22,SP98,0,0,0,28.83
6.0,4.8,27,22.0,17,SP98,0,0,0,13.33
16.0,4.1,45,22.0,15,SP98,0,0,0,21.33
15.4,4.9,55,22.0,18,SP98,0,0,0,16.8
15.4,4.3,39,22.0,23,SP98,0,0,0,23.69
16.0,3.9,35,22.0,18,SP98,0,0,0,27.43
15.4,4.5,52,22.0,26,SP98,0,0,0,17.77
16.6,4.1,48,25.5,30,SP98,1,0,1,20.75
15.4,5.0,48,25.5,31,SP98,1,0,0,19.25
16.0,4.0,43,22.0,21,SP98,1,0,0,22.33
15.4,4.5,42,22.0,30,SP98,0,0,0,22.0
16.0,3.6,43,22.0,19,SP98,0,0,0,22.33
20.9,4.1,33,22.0,21,SP98,0,0,0,38.0
32.1,3.9,47,22.0,26,SP98,0,0,0,40.98
15.3,6.6,16,24.0,27,SP98,1,0,0,57.38
28.5,4.0,44,25.0,23,SP98,1,0,0,38.86
11.9,3.7,33,25.0,19,SP98,0,0,0,21.64
